Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Physical stage of photosynthesis charge separation,2.0,3.1,0.5,10.3367/UFNe.2016.02.037701,no,good
C4 photosynthesis:: discovery and resolution,56.0,2.9,3.0,10.1023/A:1020471718805,no,good
Photosystem II-based biomimetic assembly for enhanced photosynthesis,20.0,16.3,24.75,10.1093/nsr/nwab051,no,good
Genetic Engineering for Global Food Security: Photosynthesis and Biofortification,30.0,4,5.3,10.3390/plants8120586,no,good
Neglecting acclimation of photosynthesis under drought can cause significant errors in predicting leaf photosynthesis in wheat,6.0,10.8,20.4,10.1111/gcb.16488,no,good
Agriculture and the new challenges for photosynthesis research,334.0,8.3,8.08,10.1111/j.1469-8137.2008.02705.x,no,good
Green light drives photosynthesis in mosses,4.0,1.2,2.85,10.1080/03736687.2018.1516434,no,good
The chaperonin 60 protein SlCpn60a1 modulates photosynthesis and photorespiration in tomato,5.0,5.6,5.199999999999999,10.1093/jxb/eraa418,no,good
Exploiting the engine of C4 photosynthesis,195.0,5.6,31.75,10.1093/jxb/err179,no,good
"Chlorophylls, Symmetry, Chirality, and Photosynthesis",171.0,2.2,7.25,10.3390/sym6030781,no,good
Enhanced photosynthesis rate in genetically engineered indica rice expressing pepc gene cloned from maize,101.0,4.2,9.0,10.1016/j.plantsci.2007.02.016,no,good
Solar spectral management for natural photosynthesis: from photonics designs to potential applications,11.0,13.4,0.5,10.1186/s40580-022-00327-5,no,good
Engineering photosynthesis in plants and synthetic microorganisms,58.0,5.6,3.0,10.1093/jxb/ers263,no,good
The transition to microbial photosynthesis in hot spring ecosystems,93.0,3.6,8.152000000000001,10.1016/j.chemgeo.2010.11.022,no,good
Why is C4 photosynthesis so rare in trees?,9.0,5.6,53.93000000000001,10.1093/jxb/eraa234,no,good
When did oxygenic photosynthesis evolve?,254.0,5.4,18.876,10.1098/rstb.2008.0041,no,good
Conjugated Polymer Nanoparticles to Augment Photosynthesis of Chloroplasts,113.0,16.1,9.75,10.1002/anie.201702376,no,good
Rationale: Photosynthesis of Vascular Plants in Dim Light,2.0,4.1,3.0,10.3389/fpls.2020.573881,no,good
Electrochromism: a useful probe to study algal photosynthesis,172.0,2.9,0.5,10.1007/s11120-010-9579-z,no,good
Extra O2 evolution reveals an O2-independent alternative electron sink in photosynthesis of marine diatoms,0.0,2.9,0.25,10.1007/s11120-023-01073-3,no,good
Artificial Photosynthesis in Ranaspumin-2 Based Foam,68.0,9.6,24.684,10.1021/nl100550k,no,good
The chlorosome: a prototype for efficient light harvesting in photosynthesis,222.0,2.9,3.0,10.1007/s11120-010-9533-0,no,good
New insights into the role of melatonin in photosynthesis,19.0,5.6,0.25,10.1093/jxb/erac230,no,good
"Stomatal behaviour, photosynthesis and transpiration under rising CO2",125.0,6,3.0,10.1046/j.1365-3040.1999.00407.x,no,good
Improving Plant Photosynthesis through Light-Harvesting Upconversion Nanoparticles,7.0,15.8,1.25,10.1021/acsnano.2c02162,no,good
Photosynthesis Web resources,7.0,2.9,3.0,10.1007/s11120-013-9840-3,no,good
Recovery of photosynthesis parameters from in situ profiles of phytoplankton production,12.0,3.1,0.25,10.1093/icesjms/fsv204,no,good
Root photosynthesis prevents hypoxia in the epiphytic orchid Phalaenopsis,1.0,2.6,4.050000000000001,10.1071/FP23227,no,good
Multiple Arabidopsis genes primed for recruitment into C4 photosynthesis,58.0,6.2,4.75,10.1111/j.1365-313X.2011.04769.x,no,good
Operation of trans-thylakoid thiol-metabolizing pathways in photosynthesis,25.0,4.1,1.25,10.3389/fpls.2013.00476,no,good
Synthesis of a Chlorin Fullerene Dyad for Artificial Photosynthesis,12.0,2.5,0.25,10.1002/ejoc.201601504,no,good
Photosynthesis: Response to high temperature stress,500.0,3.9,4.5,10.1016/j.jphotobiol.2014.01.010,no,good
Evolution of photosynthesis and aerobic respiration in the cyanobacteria,37.0,7.1,13.33,10.1016/j.freeradbiomed.2019.03.029,no,good
"Photosynthesis, Light Use Efficiency, and Yield of Reduced-Chlorophyll Soybean Mutants in Field Conditions",99.0,4.1,2.25,10.3389/fpls.2017.00549,no,good
Improving crop yield and resilience through optimization o photosynthesis: panacea or pipe dream?,57.0,5.6,90.08,10.1093/jxb/erab097,no,good
Photosynthesis in estuarine intertidal microphytobenthos is limited by inorganic carbon availability,21.0,2.9,0.25,10.1007/s11120-015-0203-0,no,good
Recruitment of pre-existing networks during the evolution of C4 photosynthesis,18.0,5.4,8.799999999999999,10.1098/rstb.2016.0386,no,good
Seagrass photosynthesis controls rates of calcification and photosynthesis of calcareous macroalgae in a tropical seagrass meadow,155.0,2.2,5.272,10.3354/meps07973,no,good
Stimulation of Saginaw Bay charophyte photosynthesis by phosphorus,1.0,2.4,2.5,10.1016/j.jglr.2017.03.015,no,good
Strategies for manipulating Rubisco and creating photorespiratory bypass to boost C3 photosynthesis: Prospects on modern crop improvement,5.0,6,17.58,10.1111/pce.14500,no,good
Inhibition of algal photosynthesis by a symbiotic coral,16.0,2.2,3.0,10.1023/A:1012777502179,no,good
A single loss of photosynthesis in the diatom order Bacillariales (Bacillariophyta),9.0,2.4,10.45,10.1002/ajb2.1267,no,good
THE ROLE OF PHYTOPLANKTON PHOTOSYNTHESIS IN GLOBAL BIOGEOCHEMICAL CYCLES,362.0,2.9,56.93,10.1007/BF00014586,no,good
Advances in Genetic Engineering in Improving Photosynthesis and Microalgal Productivity,10.0,4.9,3.0,10.3390/ijms24031898,no,good
The effects of limiting phosphate on photosynthesis and growth of Lotus japonicus,37.0,2.7,1.0,10.1016/j.sajb.2016.03.001,no,good
Light acclimation of photosynthesis in three charophyte species,66.0,1.9,3.0,10.1016/j.aquabot.2004.01.010,no,good
Reconstruction of gene regulatory network related to photosynthesis in Arabidopsis thaliana,20.0,4.1,4.35,10.3389/fpls.2014.00273,no,good
Towards efficient photosynthesis: overexpression of Zea mays phosphoenolpyruvate carboxylase in Arabidopsis thaliana,26.0,2.9,0.5,10.1007/s11120-016-0224-3,no,good
A mathematical model of C4 photosynthesis:: The mechanism of concentrating CO2 in NADP-malic enzyme type species,67.0,2.9,3.0,10.1023/A:1010695402963,no,good
The photosynthesis of young Panicum C4 leaves is not C3-like,31.0,6,0.5,10.1046/j.1365-3040.1998.00348.x,no,good
Environmentally relevant copper concentrations stimulate photosynthesis in Monoraphidium sp.,4.0,2.9,1.0,10.1007/s11120-022-00976-x,no,good
Knocking out NEGATIVE REGULATOR OF PHOTOSYNTHESIS 1 increases rice leaf photosynthesis and biomass production in the field,14.0,5.6,0.25,10.1093/jxb/eraa566,no,good
The sensitivity of photosynthesis to O2 and CO2 concentration identifies strong Rubisco control above the thermal optimum,89.0,8.3,16.35,10.1111/nph.14258,no,good
Photosynthesis-assisted remodeling of three-dimensional printed structures,15.0,9.4,82.35,10.1073/pnas.2016524118,no,good
Influence and predictive capacity of climate anomalies on daily to decadal extremes in canopy photosynthesis,37.0,2.9,1.5,10.1007/s11120-013-9925-z,no,good
Recent developments in luminescent nanoparticles for plant imaging and photosynthesis,45.0,5.2,7.1,10.1016/j.jre.2019.04.001,no,good
Uncertainty in measurements of the photorespiratory CO2 compensation point and its impact on models of leaf photosynthesis,15.0,2.9,1.1,10.1007/s11120-017-0369-8,no,good
Artificial photosynthesis: understanding water splitting in nature,60.0,3.6,0.5,10.1098/rsfs.2015.0009,no,good
FPGA-based wireless smart sensor for real-time photosynthesis monitoring,14.0,7.7,0.25,10.1016/j.compag.2013.04.009,no,good
The Amount of Nitrogen Used for Photosynthesis Modulates Molecular Evolution in Plants,32.0,11,56.03,10.1093/molbev/msy043,no,good
Genetic improvement of leaf photosynthesis and intrinsic water use efficiency in C3 plants: Why so much little success?,84.0,4.2,0.5,10.1016/j.plantsci.2016.05.002,no,good
Oxygenic photosynthesis without galactolipids,54.0,9.4,15.85,10.1073/pnas.1403708111,no,good
Regulatory mechanisms underlying C4 photosynthesis,43.0,8.3,7.626,10.1111/j.1469-8137.2011.03649.x,no,good
Modelling temporal variation of parameters used in two photosynthesis models: influence of fruit load and girdling on leaf photosynthesis in fruit-bearing branches of apple,25.0,3.6,10.33,10.1093/aob/mcx139,no,good
Mathematical Modeling to Estimate Photosynthesis: A State of the Art,2.0,2.5,0.25,10.3390/app12115537,no,good
A genomic panel for studying C3-C4 intermediate photosynthesis in the Brassiceae tribe,4.0,6,12.75,10.1111/pce.14662,no,good
Genetic modification of photosynthesis with E. coli genes for trehalose synthesis,117.0,10.1,3.0,10.1111/j.1467-7652.2004.00053.x,no,good
Regulation of photosynthesis by mitogen-activated protein kinase in rice: antagonistic adjustment by OsMPK3 and OsMPK6,0.0,3.4,4.55,10.1007/s12298-023-01383-9,no,good
A Semisynthetic Peptide-Metalloporphyrin Responsive Matrix for Artificial Photosynthesis,1.0,3,0.75,10.1002/cptc.201900063,no,good
Circadian and diel regulation of photosynthesis in the bryophyte Marchantia polymorpha,6.0,6,13.1,10.1111/pce.14364,no,good
Artificial Photosynthesis for Sustainable Fuel and Chemical Production,561.0,16.1,24.5,10.1002/anie.201409116,no,good
Photosynthesis by symbiotic sponges enhances their ability to erode calcium carbonate,13.0,1.8,12.05,10.1016/j.jembe.2019.04.010,no,good
CHALLENGES IN UNDERSTANDING PHOTOSYNTHESIS IN A UNIVERSITY INTRODUCTORY BIOSCIENCES CLASS,17.0,1.9,0.5,10.1007/s10763-014-9571-8,no,good
The Importance of Stem Photosynthesis for Two Desert Shrubs Across Different Groundwater Depths,5.0,4.1,0.25,10.3389/fpls.2022.804786,no,good
All-Carbon Nanotube Solar Cell Devices Mimic Photosynthesis,1.0,9.6,0.75,10.1021/acs.nanolett.2c03544,no,good
Enhanced limonene production in cyanobacteria reveals photosynthesis limitations,115.0,9.4,3.5,10.1073/pnas.1613340113,no,good
Mimicking the Oxygen-Evolving Center in Photosynthesis,2.0,4.1,0.75,10.3389/fpls.2022.929532,no,good
Modelling the role of Rubisco activase in limiting non-steady-state photosynthesis,89.0,5.6,3.0,10.1093/jexbot/51.suppl_1.399,no,good
Coupled electron transfers in artificial photosynthesis,68.0,5.4,3.0,10.1098/rstb.2007.2225,no,good
The complex character of photosynthesis in cucumber fruit,47.0,5.6,2.6,10.1093/jxb/erx034,no,good
LsNRL4 enhances photosynthesis and decreases leaf angles in lettuce,5.0,10.1,0.25,10.1111/pbi.13878,no,good
Chlorophyll Fluorescence Data Reveals Climate-Related Photosynthesis Seasonality in Amazonian Forests,15.0,4.2,0.25,10.3390/rs9121275,no,good
The Dynamics of Photosynthesis,583.0,8.7,7.5,10.1146/annurev.genet.42.110807.091452,no,good
Ecophysiology of constitutive and facultative CAM photosynthesis,90.0,5.6,13.33,10.1093/jxb/erz002,no,good
On the Covariation of Chlorophyll Fluorescence and Photosynthesis Across Scales,114.0,4.6,26.30000000000001,10.1029/2020GL091098,no,good
The Road to C4 Photosynthesis: Evolution of a Complex Trait via Intermediary States,49.0,3.9,3.7,10.1093/pcp/pcw009,no,good
Genetics as a key to improving crop photosynthesis,19.0,5.6,6.6,10.1093/jxb/erac076,no,good
"CAM photosynthesis in Bulnesia retama (Zygophyllaceae), a non-succulent desert shrub from South America",3.0,3.6,5.1,10.1093/aob/mcad114,no,good
Detecting mangrove photosynthesis with solar-induced chlorophyll fluorescence,10.0,3,0.75,10.1080/01431161.2022.2032457,no,good
"EFFECTS OF JUGLONE ON GROWTH, PHOTOSYNTHESIS, AND RESPIRATION",126.0,2.2,3.5,10.1007/BF00994325,no,good
Nanostructured artificial photosynthesis,418.0,12.8,3.0,10.1016/S1389-5567(03)00004-2,no,good
Models of fluorescence and photosynthesis for interpreting measurements of solar-induced chlorophyll fluorescence,288.0,3.7,2.0,10.1002/2014JG002713,no,good
The taxonomic distribution of C4 photosynthesis in Amaranthaceae sensu stricto,89.0,2.4,3.0,10.3732/ajb.94.12.1992,no,good
Enhancing C3 photosynthesis: an outlook on feasible interventions for crop improvement,62.0,10.1,8.806000000000001,10.1111/pbi.12246,no,good
"Oxygenic photosynthesis: history, status and perspective",60.0,7.2,10.08,10.1017/S0033583518000112,no,good
Glucose Synthesis in a Protein-Based Artificial Photosynthesis System,10.0,3.1,3.0,10.1007/s12010-015-1731-y,no,good
Plasmodesmal connectivity in C4 Gynandropsis gynandra is induced by light and dependent on photosynthesis,4.0,8.3,51.65000000000003,10.1111/nph.19343,no,good
Entropy production and the second law in photosynthesis,25.0,3.4,4.0,10.1016/j.bbabio.2007.07.004,no,good
Benthic photosynthesis in submerged Wadden Sea intertidal flats,76.0,2.6,3.0,10.1016/j.ecss.2006.09.019,no,good
Quantum yield variation across the three pathways of photosynthesis: not yet out of the dark,104.0,5.6,6.0,10.1093/jxb/ern029,no,good
Features of photosynthesis in Haloxylon species of Chenopodiaceae that are dominant plants in Central Asian deserts,111.0,3.9,6.0,10.1093/oxfordjournals.pcp.a029519,no,good
Variability of photosynthesis-irradiance curves and ecosystem respiration in a small river,69.0,2.8,3.0,10.1046/j.1365-2427.2000.00602.x,no,good
The occurrence of C2 photosynthesis in Euphorbia subgenus Chamaesyce (Euphorbiaceae),48.0,5.6,3.0,10.1093/jxb/err059,no,good
On the origin of oxygenic photosynthesis and Cyanobacteria,117.0,8.3,97.67999999999999,10.1111/nph.16249,no,good
Nano-TiO2 Improve the Photosynthesis of Tomato Leaves under Mild Heat Stress,160.0,3.4,7.0,10.1007/s12011-013-9833-2,no,good
The role of metabolomics in informing strategies for improving photosynthesis,1.0,5.6,16.3,10.1093/jxb/erad508,no,good
Artificial Photosynthesis at Dynamic Self-Assembled Interfaces in Water,37.0,3.9,1.0,10.1002/chem.201503712,no,good
The effects of pH and pCO2 on photosynthesis and respiration in the diatom Thalassiosira weissflogii,28.0,2.9,8.272,10.1007/s11120-016-0330-2,no,good
Different Regulatory Modes of Synechocystis sp. PCC 6803 in Response to Photosynthesis Inhibitory Conditions,6.0,5,3.5,10.1128/mSystems.00943-21,no,good
Carbon isotope discrimination as a diagnostic tool for C4 photosynthesis in C3-C4 intermediate species,33.0,5.6,6.1,10.1093/jxb/erv555,no,good
Understanding photosynthesis in a spatial-temporal multiscale: The need for a systemic view,16.0,2.2,8.5,10.1007/s40626-021-00199-w,no,good
"International conference on Photosynthesis and Hydrogen Energy Research for Sustainability-2023: in honor of Robert Blankenship, Győző Garab, Michael Grätzel, Norman Hüner and Gunnar Öquist",0.0,2.9,0.5,10.1007/s11120-024-01087-5,no,good
NADH Photosynthesis System with Affordable Electron Supply and Inhibited NADH Oxidation,2.0,16.1,0.5,10.1002/anie.202310238,no,good
Leaf and canopy photosynthesis of a chlorophyll deficient soybean mutant,61.0,6,1.25,10.1111/pce.13180,no,good
C4 photosynthesis in Paulownia? A case of inaccurate citations,3.0,3.7,24.1,10.1002/ppp3.10343,no,good
Nature inspired artificial photosynthesis technologies for hydrogen production: Barriers and challenges,45.0,8.1,1.0,10.1016/j.ijhydene.2019.12.010,no,good
Cyanobacterial-based approaches to improving photosynthesis in plants,104.0,5.6,3.0,10.1093/jxb/ers294,no,good
Effects of pCO2 on photosynthesis and respiration of tropical scleractinian corals and calcified algae,35.0,3.1,12.322,10.1093/icesjms/fsv267,no,good
Solar Fuel Production Based on the Artificial Photosynthesis System,112.0,3.8,3.0,10.1002/cctc.201000293,no,good
Evolution of an intermediate C4 photosynthesis in the non-foliar tissues of the Poaceae,5.0,2.9,5.75,10.1007/s11120-022-00926-7,no,good
Photosynthesis improvement for enhancing productivity in rice,18.0,1.9,1.85,10.1080/00380768.2021.1966290,no,good
Uncovering C4-like photosynthesis in C3 vascular cells,5.0,5.6,15.58,10.1093/jxb/ery155,no,good
Phylogeny and photosynthesis of the grass tribe Paniceae,51.0,2.4,2.7,10.3732/ajb.1500222,no,good
Genetic dissection of the gene coexpression network underlying photosynthesis in Populus,21.0,10.1,2.6,10.1111/pbi.13270,no,good
"Photosynthesis: basics, history and modelling",132.0,3.6,55.38,10.1093/aob/mcz171,no,good
Inhibition of coral photosynthesis by the antifouling herbicide Irgarol 1051,96.0,5.3,6.0,10.1016/S0025-326X(01)00303-4,no,good
Use of near-infrared radiation for oxygenic photosynthesis via photon up-conversion,22.0,8.1,3.0,10.1016/j.ijhydene.2012.01.087,no,good
Plants and photosynthesis: peer assessment to help students learn,14.0,1,3.0,10.1080/00219266.2008.9656133,no,good
Enhancement of crop photosynthesis by diffuse light: quantifying the contributing factors,141.0,3.6,13.804,10.1093/aob/mcu071,no,good
"Effects of fungicide and insecticide mixtures on apple tree canopy photosynthesis, dark respiration and carbon economy",30.0,2.5,3.0,10.1016/j.cropro.2004.02.012,no,good
Effects of elevated [CO2] on photosynthesis in European forest species:: a meta-analysis of model parameters,416.0,6,6.0,10.1046/j.1365-3040.1999.00523.x,no,good
Photosynthesis in plants with non-green leaves,1.0,1,8.616,10.1080/00219266.2006.9656041,no,good
